team,stadium,latitude,longitude,altitude_m,capacity
Cardiff,Cardiff City Stadium,51.4726,-3.2040,36,33280
Carpi,Stadio Sandro Cabassi,44.7825,10.8825,24,4174
Carrarese,Stadio dei Marmi,44.0672,10.0882,7,6000
Cartagena,Estadio Cartagonova,37.6136,-0.9849,8,15000
Castellon,Estadio Castalia,39.9800,-0.0298,20,15900
Catania,Stadio Angelo Massimino,37.5241,15.0745,10,23420
Catanzaro,Stadio Nicola Ceravolo,38.8981,16.5864,310,13000
Celta,Estadio de Balaídos,42.2115,-8.7394,16,29000
Celtic,Celtic Park,55.8490,-4.2052,21,60411
Cesena,Orogel Stadium Dino Manuzzi,44.1395,12.2553,44,23860
Ceuta,Alfonso Murube,35.8914,-5.3128,15,8000
Chambly,Stade du Viaduc,49.1683,2.2428,72,7000
Charleville,Stade Lagrange,49.7638,4.7095,146,6500
Charlton,The Valley,51.4867,0.0364,12,27111
Chateauroux,Stade Gaston-Petit,46.8062,1.6980,151,11000
Chelsea,Stamford Bridge,51.4816,-0.1910,11,40341
Chemnitz,Stadion an der Gellertstraße,50.8285,12.9261,310,15000
Chievo,Stadio Marcantonio Bentegodi,45.4324,10.9728,64,39211
Cittadella,Stadio Pier Cesare Tombolato,45.6470,11.7830,49,7960
Ciudad de Murcia,Estadio Enrique Roca,37.9831,-1.1318,43,31179
Clermont,Stade Gabriel-Montpied,45.7876,3.1168,387,11980
Colchester,JobServe Community Stadium,51.8840,0.9053,52,10105
Como,Stadio Giuseppe Sinigaglia,45.8082,9.0879,197,13602
Compostela,Estadio Multiusos de San Lázaro,42.8868,-8.5377,255,13500
Concarneau,L'Anse de Kersouf,47.8770,-3.9128,10,5000
Cordoba,Estadio El Arcángel,37.8728,-4.8000,99,20989
Cosenza,Stadio San Vito-Gigi Marulla,39.3047,16.2505,237,23406
Cottbus,Stadion der Freundschaft,51.7397,14.3372,70,22528
Coventry,Coventry Building Society Arena,52.4482,-1.4961,82,32609
Cremonese,Stadio Giovanni Zini,45.1323,10.0215,47,20696
Creteil,Stade Dominique-Duvauchelle,48.7836,2.4485,38,12000
Crewe,Gresty Road,53.0868,-2.4363,68,10153
Crotone,Stadio Ezio Scida,39.0840,17.1249,8,14700
Crystal Palace,Selhurst Park,51.3983,-0.0855,64,25486
Cultural Leonesa,Reino de León,42.5936,-5.5679,836,14300
Darmstadt,Merck-Stadion am Böllenfalltor,49.8618,8.6565,148,17810
Derby,Pride Park,52.9149,-1.4468,38,33597
Dijon,Stade Gaston-Gérard,47.3113,5.0470,242,16000
Doncaster,Keepmoat Stadium,53.5182,-1.0786,11,15231
Dortmund,Signal Iduna Park,51.4926,7.4519,86,81365
Dresden,Rudolf-Harbig-Stadion,51.0573,13.7441,113,32066
Duisburg,Schauinsland-Reisen-Arena,51.4280,6.7777,34,31500
Dundee,Dens Park,56.4760,-2.9770,35,11506
Dundee United,Tannadice,56.4776,-2.9703,40,14223
Dunfermline,East End Park,56.0706,-3.4517,52,11998
Dunkerque,Stade Marcel-Tribut,51.0373,2.3773,4,12000
Dusseldorf,Merkur Spiel-Arena,51.2738,6.7332,38,54600
Ecija,Estadio La Merced,37.5408,-5.0827,88,6000
Eibar,Estadio Ipurua,43.1852,-2.4780,115,7083
Ein Frankfurt,Deutsche Bank Park,50.0686,8.6453,105,58000
Ein Trier,Moselstadion,49.7404,6.6618,138,12000
Elche,Estadio Martínez Valero,38.2650,-0.6946,85,33732
Eldense,Estadio Municipal El Collao,38.4786,-0.7984,395,7000
Elversberg,URSAPHARM-Arena an der Kaiserlinde,49.3520,7.0978,305,8000
Empoli,Carlo Castellani,43.7265,10.9531,28,16284
Epinal,Stade de la Colombière,48.1794,6.4547,329,10000
Erfurt,Steigerwaldstadion,50.9819,11.0167,208,20000
Erzgebirge Aue,Erzgebirgsstadion,50.5895,12.7143,398,15828
Espanol,RCDE Stadium,41.3478,2.0749,40,40000
Essen,Stadion an der Hafenstraße,51.4580,6.9921,42,20000
Everton,Goodison Park,53.4388,-2.9660,12,39414
Evian Thonon Gaillard,Parc des Sports d'Annecy,45.8886,6.1296,448,9000
Extremadura,Estadio Francisco de la Hera,38.8862,-6.9820,190,12000
Extremadura UD,Estadio Francisco de la Hera,38.8862,-6.9820,190,12000
F Koln,RheinEnergieStadion,50.9333,6.8752,48,50000
FC Koln,RheinEnergieStadion,50.9333,6.8752,48,50000
FSV Frankfurt,Frankfurter Volksbank Stadion,50.0919,8.6694,107,10500
Falkirk,Falkirk Stadium,56.0038,-3.7880,12,8776
FeralpiSalo,Stadio Lino Turina,45.5142,10.5197,63,5020
Ferrol,Estadio de A Malata,43.5003,-8.2398,22,10000
Fiorentina,Stadio Artemio Franchi,43.7809,11.2817,51,43147
Foggia,Stadio Pino Zaccheria,41.4726,15.5575,75,19673
Fortuna Dusseldorf,Merkur Spiel-Arena,51.2738,6.7332,38,54600
Frankfurt FSV,Frankfurter Volksbank Stadion,50.0919,8.6694,107,10500
Freiburg,Europa-Park Stadion,47.9965,7.9017,280,34700
Frosinone,Stadio Benito Stirpe,41.6362,13.3461,291,16227
Fuenlabrada,Estadio Fernando Torres,40.2839,-3.8043,680,5000
Fulham,Craven Cottage,51.4749,-0.2217,11,25700
Gallipoli,Stadio Vito Curlo,40.0571,17.9950,25,5000
Genoa,Stadio Luigi Ferraris,44.4166,8.9511,19,36599
Getafe,Coliseum Alfonso Pérez,40.3254,-3.7132,649,17700
Gillingham,Priestfield Stadium,51.3857,0.5514,15,11582
Gimnastic,Nou Estadi,41.1100,1.2450,70,14585
Girona,Estadio Municipal de Montilivi,41.9843,2.8173,71,13500
Granada,Estadio Nuevo Los Cármenes,37.1544,-3.5904,686,22524
Granada 74,Estadio Nuevo Los Cármenes,37.1544,-3.5904,686,22524
Grenoble,Stade des Alpes,45.1879,5.7208,218,20068
Gretna,Raydale Park,54.9961,-3.0682,30,2200
Greuther Furth,Sportpark Ronhof,49.4888,10.9886,325,16626
Grimsby,Blundell Park,53.5608,-0.0606,5,9052
Grosseto,Stadio Carlo Zecchini,42.7626,11.1156,5,7000
Guadalajara,Estadio El Henares,40.6241,-3.2186,776,6000
Gubbio,Stadio Pietro Barbetti,43.3471,12.5774,522,6000
Gueugnon,Stade Jean Laville,46.6050,4.0662,240,9000
Guingamp,Roudourou,48.5649,-3.1536,18,18200
Gutersloh,Heidewaldstadion,51.9185,8.3822,81,9000
Hamburg,Volksparkstadion,53.5871,9.8990,7,57000
Hamilton,New Douglas Park,55.7839,-4.0450,27,6018
Hannover,HDI-Arena,52.3603,9.7328,54,49200
Hansa Rostock,Ostseestadion,54.0880,12.1367,6,29000
Hearts,Tynecastle Park,55.9389,-3.2259,54,19843
Heidenheim,Voith-Arena,48.6773,10.1539,509,15000
Hercules,Estadio José Rico Pérez,38.3589,-0.4820,15,30000
Hertha,Olympiastadion Berlin,52.5147,13.2395,49,74475
Hibernian,Easter Road,55.9614,-3.1658,34,20421
Hoffenheim,PreZero Arena,49.2388,8.8892,122,30150
Holstein Kiel,Holstein-Stadion,54.3402,10.1359,11,15034
Homburg,Waldstadion Homburg,49.3238,7.3378,247,11700
Huddersfield,John Smith's Stadium,53.6541,-1.7679,122,24169
Huesca,El Alcoraz,42.1407,-0.4077,484,7797
Hull,MKM Stadium,53.7460,-0.3674,4,25400
Ibiza,Estadio Can Misses,38.9225,1.4128,30,3600
Ingolstadt,Audi Sportpark,48.7564,11.4208,371,15000
Inter,San Siro,45.4781,9.1247,120,80018
Inverness C,Caledonian Stadium,57.4787,-4.2301,4,7512
Ipswich,Portman Road,52.0544,1.1445,15,29950
Istres,Stade Parsemain,43.5138,4.9873,2,7000
Jaen,Estadio de La Victoria,37.7765,-3.7956,572,15000
Juve Stabia,Stadio Romeo Menti Castellammare,40.7176,14.4337,52,10000
Juventus,Allianz Stadium,45.1096,7.6414,231,41507
Kaiserslautern,Fritz Walter Stadion,49.4344,7.7762,280,41527
Kaiserslautern ,Fritz Walter Stadion,49.4344,7.7762,280,41527
Karlsruhe,BBBank Wildpark,49.0204,8.4100,118,34302
Kilmarnock,Rugby Park,55.6080,-4.4962,31,18128
Koblenz,RheinMoselStadion,50.3706,7.5798,68,13800
La Coruna,Estadio Abanca-Riazor,43.3697,-8.4220,9,32912
Las Palmas,Gran Canaria,28.1006,-15.4531,12,32400
Latina,Stadio Domenico Francioni,41.4697,12.9072,20,10000
Laval,Stade Francis-Le Basser,48.0645,-0.7700,89,18500
Lazio,Stadio Olimpico,41.9339,12.4537,27,72698
Le Havre,Stade Océane,49.4924,0.1143,10,25178
Le Mans,MMArena,47.9623,0.2114,62,25000
Lecce,Stadio Via del Mare,40.3530,18.1682,25,33876
Lecco,Stadio Mario Rigamonti-Mario Ceppi,45.8680,9.3934,214,5000
Leeds,Elland Road,53.7775,-1.5724,51,37890
Leganes,Estadio Municipal Butarque,40.3467,-3.7649,648,11454
Leicester,King Power Stadium,52.6204,-1.1425,63,32261
Leipzig,Red Bull Arena,51.3459,12.3486,120,47069
Lens,Stade Bollaert-Delelis,50.4332,2.8140,35,38223
Leonesa,Reino de León,42.5936,-5.5679,836,14300
Lerida,Camp d'Esports de Lleida,41.6177,0.6196,154,10000
Levante,Estadio Ciutat de Valencia,39.4752,-0.3542,14,25354
Leverkusen,BayArena,51.0386,7.0022,62,30210
Libourne,Stade de Lescure,44.9258,-0.2407,10,7000
Lille,Stade Pierre-Mauroy,50.6116,3.1303,30,50186
Liverpool,Anfield,53.4308,-2.9608,16,61276
Livingston,Tony Macaroni Arena,55.8912,-3.5241,75,9998
Livorno,Stadio Armando Picchi,43.5451,10.3128,12,19238
Llagostera,Estadi Municipal de Llagostera,41.8282,2.8867,91,3000
Lleida,Camp d'Esports de Lleida,41.6177,0.6196,154,10000
Logrones,Estadio Las Gaunas,42.4630,-2.4413,437,12000
Lorca,Estadio Francisco Artés Carrasco,37.6804,-1.7017,329,10000
Lorient,Stade du Moustoir,47.7454,-3.3654,12,18500
Louhans-Cuis.,Stade Léon Emonot,46.6236,5.2192,185,7000
Lubeck,Lohmühle,53.8621,10.6822,12,13032
Lugo,Estadio Municipal Anxo Carro,43.0157,-7.5543,474,12000
Luton,Kenilworth Road,51.8834,-0.4317,99,10356
Lyon,Groupama Stadium,45.7654,4.9822,197,59186
M'Gladbach,Borussia-Park,51.1748,6.3852,64,54057
M'gladbach,Borussia-Park,51.1748,6.3852,64,54057
Magdeburg,MDCC-Arena,52.1347,11.6186,55,26050
Mainz,Mewa Arena,49.9845,8.2231,82,33305
Malaga,La Rosaleda,36.7200,-4.3884,22,30044
Malaga B,La Rosaleda,36.7200,-4.3884,22,30044
Mallorca,Visit Mallorca Estadi,39.5936,2.6567,22,23142
Mallorca B,Visit Mallorca Estadi,39.5936,2.6567,22,23142
Man City,Etihad Stadium,53.4831,-2.2004,46,53400
Man United,Old Trafford,53.4631,-2.2913,41,74310
Mannheim,Carl-Benz-Stadion,49.4919,8.5198,94,26000
Mantova,Stadio Danilo Martelli,45.1577,10.7893,23,7000
Marseille,Stade Vélodrome,43.2697,5.3957,45,67394
Martigues,Stade Francis-Turcan,43.4061,5.0526,8,7000
Meppen,Hänsch-Arena,52.6983,7.2848,17,8110
Merida,Estadio Romano de Mérida,38.9122,-6.3434,217,7000
Messina,Stadio San Filippo,38.2160,15.5460,4,38000
Metz,Stade Saint-Symphorien,49.1106,6.2228,168,26070
Middlesbrough,Riverside Stadium,54.5782,-1.2177,13,33746
Milan,San Siro,45.4781,9.1247,120,80018
Millwall,The Den,51.4856,-0.0508,6,20146
Milton Keynes Dons,Stadium MK,52.0102,-0.7872,67,22000
Mirandes,Estadio Municipal de Anduva,42.7000,-2.9410,620,6000
Modena,Stadio Alberto Braglia,44.6523,10.9113,34,21151
Monaco,Stade Louis II,43.7276,7.4154,50,18523
Montpellier,Stade de la Mosson,43.6236,3.8117,35,32939
Monza,U-Power Stadium,45.5840,9.2734,163,18568
Motherwell,Fir Park,55.7953,-3.9889,55,13677
Mulhouse,Stade de l'Ill,47.7449,7.3377,244,10000
Munich 1860,Grünwalder Stadion,48.1018,11.5489,543,15000
Murcia,Estadio Enrique Roca,37.9831,-1.1318,43,31179
Nancy,Stade Marcel-Picot,48.6907,6.2091,205,20087
Nantes,Stade de la Beaujoire,47.2557,-1.5248,12,37473
Napoli,Stadio Diego Armando Maradona,40.8279,14.1932,6,54726
Newcastle,St James' Park,54.9756,-1.6217,52,52305
Nice,Allianz Riviera,43.7051,7.1928,21,35624
Nimes,Stade des Costières,43.8360,4.3597,46,18178
Niort,Stade René-Gaillard,46.3227,-0.4711,24,13270
Nocerina,Stadio San Francesco d'Assisi,40.7437,14.6279,76,9000
Norwich,Carrow Road,52.6220,1.3093,5,27244
Nott'm Forest,City Ground,52.9402,-1.1328,35,30445
Notts County,Meadow Lane,52.9370,-1.1361,33,19588
Novara,Stadio Silvio Piola Novara,45.4445,8.6169,162,18000
Numancia,Estadio Los Pajaritos,41.7627,-2.4570,1063,9000
Nurnberg,Max-Morlock-Stadion,49.4274,11.1221,309,50000
Oberhausen,Niederrhein-Stadion,51.5017,6.8463,39,23600
Offenbach,Sparda-Bank-Hessen-Stadion,50.0957,8.7655,107,12500
Oldenburg,Marschwegstadion,53.1490,8.2091,5,12500
Oldham,Boundary Park,53.5567,-2.1290,120,13560
Orleans,Stade de la Source,47.8615,1.8972,94,16200
Orense,Estadio O Couto,42.3360,-7.8633,127,9000
Osasuna,El Sadar,42.7965,-1.6368,449,23576
Osnabruck,Bremer Brücke,52.2741,8.0603,68,16000
Ourense,Estadio O Couto,42.3360,-7.8633,127,9000
Oviedo,Estadio Carlos Tartiere,43.3614,-5.8744,236,30500
Oxford,Kassam Stadium,51.7098,-1.2090,54,12500
Paderborn,Benteler-Arena,51.7167,8.7435,110,15000
Padova,Stadio Euganeo,45.3882,11.8617,12,32420
Palermo,Stadio Renzo Barbera,38.1418,13.3363,54,36349
Paris FC,Stade Charléty,48.8184,2.3501,35,20000
Paris SG,Parc des Princes,48.8414,2.2530,34,47929
Parma,Stadio Ennio Tardini,44.7939,10.3390,53,22352
Partick,Firhill Stadium,55.8776,-4.2823,22,10102
Pau FC,Nouste Camp,43.2997,-0.3766,209,11500
Perpignan,Stade Francis-Le Basser (Perpignan),42.6918,2.8841,30,7000
Perugia,Stadio Renato Curi,43.1133,12.3691,295,22000
Pescara,Stadio Adriatico-Giovanni Cornacchia,42.4536,14.2292,2,20286
Peterboro,London Road Ground,52.5598,-0.2340,5,14319
Piacenza,Stadio Leonardo Garilli,45.0508,9.6882,62,11500
Piacenza ,Stadio Leonardo Garilli,45.0508,9.6882,62,11500
Pisa,Arena Garibaldi,43.7216,10.4009,3,14000
Pistoiese,Stadio Marcello Melani,43.9234,10.8869,65,4500
Plymouth,Home Park,50.3878,-4.1517,39,18600
Poli Ejido,Estadio Municipal de El Ejido,36.7776,-2.8133,13,5000
Ponferradina,El Toralín,42.5410,-6.5931,544,6500
Pontevedra,Estadio Municipal de Pasarón,42.4230,-8.6410,10,10000
Pordenone,Stadio Guido Teghil,45.9562,12.6581,11,5000
Port Vale,Vale Park,53.0521,-2.2013,167,18982
Portogruaro,Stadio Danilo Carniello,45.7753,12.8422,5,4000
Portsmouth,Fratton Park,50.7963,-1.0636,3,20688
Preston,Deepdale,53.7720,-2.6904,47,23404
PreuÃen MÃ¼nster,Preußenstadion,51.9570,7.6140,60,15000
Pro Vercelli,Stadio Silvio Piola Vercelli,45.3273,8.4214,135,5500
QPR,Loftus Road,51.5091,-0.2320,18,18181
Quevilly Rouen,Stade Robert Diochon,49.4537,1.0430,8,10000
RB Leipzig,Red Bull Arena,51.3459,12.3486,120,47069
RW Essen,Stadion an der Hafenstraße,51.4580,6.9921,42,20000
Raith Rvs,Stark's Park,56.1004,-3.1620,15,8400
Rangers,Ibrox Stadium,55.8521,-4.3094,8,50817
Ravenna,Stadio Bruno Benelli,44.4144,12.2070,3,12000
Rayo Majadahonda,Estadio Cerro del Espino,40.4736,-3.8704,737,5000
Reading,Select Car Leasing Stadium,51.4576,-0.9883,42,24161
Real Madrid,Estadio Santiago Bernabéu,40.4531,-3.6883,663,81044
Real Madrid B,Estadio Alfredo Di Stéfano,40.4525,-3.6915,663,5000
Real Union,Estadio Gal,43.3472,-1.7896,5,6000
Recreativo,Estadio Nuevo Colombino,37.2636,-6.9469,7,21700
Red Star,Stade Bauer,48.9289,2.3633,45,10000
Red Star 93,Stade Bauer,48.9289,2.3633,45,10000
Regensburg,Jahnstadion,49.0065,12.0983,337,15210
Reggiana,Mapei Stadium-Città del Tricolore,44.5304,10.5793,81,21584
Reggina,Stadio Oreste Granillo,38.1119,15.6427,32,27763
Reims,Stade Auguste-Delaune,49.2524,4.0356,90,21684
Rennes,Roazhon Park,48.1068,-1.7107,37,29778
Reus Deportiu,Estadio Municipal de Reus,41.1580,1.1219,157,4000
Reutlingen,Kreuzeichenstadion,48.4750,9.2071,376,8800
Rimini,Stadio Romeo Neri,44.0709,12.5783,5,10000
Rodez,Stade Paul-Lignon,44.3494,2.5696,641,8000
Roma,Stadio Olimpico,41.9339,12.4537,27,72698
Ross County,Global Energy Stadium,57.6909,-4.1708,9,6541
Rotherham,AESSEAL New York Stadium,53.4232,-1.3594,23,12021
Rouen,Stade Robert Diochon,49.4537,1.0430,8,10000
Saarbrucken,Ludwigsparkstadion,49.2333,6.9966,216,23541
Sabadell,Nova Creu Alta,41.5593,2.0985,218,7200
Salamanca,Estadio Helmántico,40.9619,-5.6675,800,14000
Salernitana,Stadio Arechi,40.6608,14.8168,8,37843
Sampdoria,Stadio Luigi Ferraris,44.4166,8.9511,19,36599
Sandhausen,BWT-Stadion am Hardtwald,49.3545,8.6618,115,15000
Santander,Estadio El Sardinero,43.4643,-3.8003,14,22200
Sassuolo,Mapei Stadium-Città del Tricolore,44.5304,10.5793,81,21584
Schalke 04,Veltins-Arena,51.5543,7.0673,60,62271
Schweinfurt,Willy-Sachs-Stadion,50.0531,10.2222,226,15000
Scunthorpe,Glanford Park,53.5864,-0.6836,3,9183
Sedan,Stade Louis Dugauguez,49.7181,4.9352,155,23000
Sete,Stade Louis Michel,43.4027,3.6949,3,7000
Sevilla,Estadio Ramón Sánchez-Pizjuán,37.3840,-5.9706,8,43883
Sevilla B,Estadio Ramón Sánchez-Pizjuán,37.3840,-5.9706,8,43883
Sheffield United,Bramall Lane,53.3700,-1.4710,89,32050
Sheffield Weds,Hillsborough,53.4113,-1.5005,70,39732
Siegen,Leimbachstadion,50.8897,8.0097,270,17000
Siena,Stadio Artemio Franchi Siena,43.3207,11.3202,349,15000
Sochaux,Stade Auguste-Bonal,47.5236,6.7894,293,20025
Sociedad,Reale Arena,43.3015,-1.9737,7,39500
Sociedad B,Zubieta Training Ground,43.2951,-1.9937,46,3000
Southampton,St Mary's Stadium,50.9058,-1.3914,19,32384
Southend,Roots Hall,51.5588,0.7082,7,11504
Sp Gijon,Estadio El Molinón,43.5311,-5.6274,29,29029
Spal,Stadio Paolo Mazza,44.8367,11.6272,13,16134
Spezia,Stadio Alberto Picco,44.1023,9.8229,10,10336
St Brieuc,Stade Fred-Aubert,48.5143,-2.7665,63,10000
St Etienne,Stade Geoffroy-Guichard,45.4601,4.3909,424,42000
St Johnstone,McDiarmid Park,56.4108,-3.4773,46,10696
St Mirren,SMiSA Stadium,55.8426,-4.3906,17,7888
St Pauli,Millerntor-Stadion,53.5553,9.9676,10,29546
Stockport,Edgeley Park,53.4058,-2.1582,74,10852
Stoke,Bet365 Stadium,52.9883,-2.1752,89,29559
Strasbourg,Stade de la Meinau,48.5594,7.7543,139,26100
Stuttgart,MHPArena,48.7925,9.2320,247,60449
Stuttgarter K,Gazi-Stadion auf der Waldau,48.7612,9.1908,247,10700
Sudtirol,Stadio Druso,46.4939,11.3561,264,6000
Sunderland,Stadium of Light,54.9147,-1.3882,8,49000
Swansea,Swansea.com Stadium,51.5830,-3.9348,25,20937
Swindon,County Ground,51.5640,-1.7706,86,15728
TB Berlin,,,,,
Tenerife,Estadio Heliodoro Rodríguez López,28.4702,-16.3132,32,21500
Ternana,Stadio Libero Liberati,42.5728,12.6394,130,22000
Terrassa,Estadi Olímpic de Terrassa,41.5760,2.0036,293,14500
Toledo,Estadio Salto del Caballo,39.8628,-4.0275,500,8000
Torino,Stadio Olimpico Grande Torino,45.0416,7.6509,247,27958
Tottenham,Tottenham Hotspur Stadium,51.6042,-0.0667,25,62850
Toulon,,,,,
Toulouse,Stadium de Toulouse,43.5832,1.4355,148,33150
Tours,Stade de la Vallée du Cher,47.3657,0.7212,51,16000
Tranmere,Prenton Park,53.3729,-3.0597,42,16587
Trapani,Stadio Polisportivo Provinciale,37.9950,12.5428,14,9830
Treviso,Stadio Omobono Tenni,45.6634,12.2524,3,11000
Triestina,Stadio Nereo Rocco,45.6474,13.7805,2,32460
Troyes,Stade de l'Aube,48.3071,4.0825,113,20384
U.Las Palmas,Gran Canaria,28.1006,-15.4531,12,32400
UCAM Murcia,Estadio Enrique Roca,37.9831,-1.1318,43,31179
Udinese,Stadio Friuli (Dacia Arena),46.0830,13.2046,114,25144
Uerdingen,Grotenburg-Kampfbahn,51.3301,6.6500,37,18000
Ulm,Donaustadion,48.3878,9.9965,480,20000
Union Berlin,An der Alten Försterei,52.4574,13.5676,42,22012
Unterhaching,Alpenbauer Sportpark,48.0676,11.5976,557,15000
Valence,Stade Lesdiguières,45.0010,4.8892,117,7500
Valencia,Estadio Mestalla,39.4742,-0.3583,12,49430
Valenciennes,Stade du Hainaut,50.3647,3.5151,25,25172
Valladolid,Estadio José Zorrilla,41.6522,-4.7481,694,26512
Vallecano,Campo de Fútbol de Vallecas,40.4059,-3.6576,620,14708
Vannes,Stade de la Rabine,47.6606,-2.7440,5,9876
Varese,Stadio Franco Ossola,45.8200,8.8247,278,10000
Vecindario,Estadio Rafael Hidalgo,27.8565,-15.3842,4,5000
Venezia,Stadio Pier Luigi Penzo,45.4224,12.3715,1,11150
Verona,Stadio Marc'Antonio Bentegodi,45.4324,10.9728,64,39211
Vicenza,Stadio Romeo Menti Vicenza,45.5466,11.5453,29,18269
Villareal,Estadio de la Cerámica,39.9440,-0.1030,65,23500
Villarreal,Estadio de la Cerámica,39.9440,-0.1030,65,23500
Villarreal B,Estadio de la Cerámica,39.9440,-0.1030,65,5000
Virtus Entella,Stadio Comunale di Chiavari,44.3167,9.3195,12,8000
Virtus Lanciano,Stadio Lanciano,42.2303,14.3911,43,6000
Walsall,Banks's Stadium,52.5768,-1.9887,126,11300
Wasquehal,Stade des Moulins,50.6882,3.1355,25,5000
Watford,Vicarage Road,51.6498,-0.4017,71,22200
Wattenscheid,Lohrheidestadion,51.4885,7.1611,95,13500
Wehen,BRITA Arena,50.0819,8.2385,112,13500
